Fold,Cluster,Features,Importance
3,cluster10,d1_arterial_pco2_diff,0.0271
3,cluster10,icu_admit_source,0.0275
3,cluster11,vent,0.4153
3,cluster12,d1_bun_avg,0.2623
3,cluster13,d1_platelets_avg,0.0471
3,cluster13,d1_spo2_diff,0.0484
3,cluster14,arf_apache,0.001
3,cluster14,aids,0.0001
3,cluster14,cirrhosis,0
3,cluster14,lymphoma,0
3,cluster15,d1_arterial_pco2_avg,0.0169
3,cluster15,d1_mbp_diff,0.0154
3,cluster15,d1_resprate_diff,0.016
3,cluster15,d1_bun_diff,0.013
3,cluster15,d1_wbc_diff,0.0126
3,cluster16,d1_sysbp_avg,0.087
3,cluster16,d1_albumin_avg,0.0891
3,cluster17,d1_bilirubin_avg,0.0421
3,cluster17,d1_creatinine_avg,0.043
3,cluster17,d1_arterial_po2_avg,0.0415
3,cluster18,d1_pao2fio2ratio_avg,0.065
3,cluster18,d1_temp_diff,0.0653
3,cluster19,d1_hemaglobin_avg,0.0209
3,cluster19,d1_potassium_avg,0.0187
3,cluster19,d1_calcium_avg,0.02
3,cluster19,d1_diasbp_diff,0.0194
3,cluster20,d1_mbp_avg,0.0554
3,cluster20,d1_heartrate_diff,0.0531
3,cluster20,dx_sub,0.0558
4,cluster1,d1_arterial_ph_avg,0.069
4,cluster2,dcs_group,0.3089
4,cluster3,d1_diasbp_avg,0.0175
4,cluster3,d1_hco3_avg,0.0158
4,cluster3,d1_hemaglobin_avg,0.018
4,cluster3,d1_hematocrit_avg,0.0138
4,cluster3,d1_calcium_avg,0.0183
4,cluster3,d1_arterial_pco2_avg,0.0185
4,cluster3,d1_mbp_diff,0.0199
4,cluster3,d1_lactate_diff,0.0156
4,cluster3,d1_platelets_diff,0.0137
4,cluster3,d1_potassium_diff,0.0152
4,cluster3,solid_tumor_with_metastasis,0.0163
4,cluster4,d1_pao2fio2ratio_diff,0.1313
4,cluster5,d1_lactate_avg,0.4193
4,cluster5,vent,0.4135
4,cluster6,d1_mbp_avg,0.0443
4,cluster6,d1_glucose_avg,0.0437
4,cluster6,d1_platelets_avg,0.0454
4,cluster6,d1_arterial_po2_avg,0.0471
4,cluster6,d1_spo2_diff,0.0492
4,cluster6,d1_sysbp_diff,0.0492
4,cluster6,d1_arterial_ph_diff,0.0409
4,cluster7,d1_resprate_avg,0.1051
4,cluster7,dx_class,0.0999
4,cluster8,age,0.1771
4,cluster9,d1_diasbp_diff,0.0129
4,cluster9,d1_albumin_diff,0.0071
4,cluster9,d1_bilirubin_diff,0.0093
4,cluster9,d1_bun_diff,0.0113
4,cluster9,d1_creatinine_diff,0.0116
4,cluster9,d1_glucose_diff,0.011
4,cluster9,d1_hco3_diff,0.0105
4,cluster9,d1_hemaglobin_diff,0.0071
4,cluster9,d1_hematocrit_diff,0.0073
4,cluster9,d1_inr_diff,0.012
4,cluster9,d1_calcium_diff,0.0073
4,cluster9,d1_wbc_diff,0.0131
4,cluster10,d1_bun_avg,0.2804
4,cluster11,d1_creatinine_avg,0.0278
4,cluster11,d1_potassium_avg,0.0269
4,cluster11,d1_sodium_avg,0.028
4,cluster11,d1_resprate_diff,0.0248
4,cluster12,d1_inr_avg,0.1533
4,cluster13,d1_sodium_diff,0.0575
4,cluster13,dx_sub,0.0552
4,cluster14,arf_apache,0.0016
4,cluster14,aids,0.0002
4,cluster14,cirrhosis,0.0011
4,cluster14,lymphoma,0
4,cluster15,d1_heartrate_avg,0.1123
4,cluster15,d1_spo2_avg,0.1181
4,cluster15,d1_wbc_avg,0.1201
4,cluster16,d1_temp_avg,0.0797
4,cluster16,d1_albumin_avg,0.0811
4,cluster17,d1_pao2fio2ratio_avg,0.0616
4,cluster17,d1_heartrate_diff,0.06
4,cluster17,d1_temp_diff,0.0647
4,cluster17,diabetes_mellitus,0.0624
4,cluster18,d1_sysbp_avg,0.0936
4,cluster18,elective_surgery,0.0982
4,cluster19,d1_bilirubin_avg,0.0391
4,cluster19,d1_arterial_pco2_diff,0.0331
4,cluster19,d1_arterial_po2_diff,0.0369
4,cluster19,icu_admit_source,0.0343
4,cluster20,group,0.1399
5,cluster1,d1_sysbp_avg,0.0768
5,cluster1,d1_arterial_ph_avg,0.0768
5,cluster2,vent,0.3916
5,cluster3,d1_glucose_avg,0.0202
5,cluster3,d1_hco3_avg,0.0196
5,cluster3,d1_hemaglobin_avg,0.0175
5,cluster3,d1_potassium_avg,0.0162
5,cluster3,d1_calcium_avg,0.0204
5,cluster3,d1_mbp_diff,0.016
5,cluster3,d1_lactate_diff,0.0188
5,cluster3,d1_arterial_ph_diff,0.0215
5,cluster4,dcs_group,0.285
5,cluster5,d1_resprate_avg,0.111
5,cluster5,d1_spo2_avg,0.1144
5,cluster5,d1_wbc_avg,0.1158
5,cluster5,elective_surgery,0.114
5,cluster6,d1_lactate_avg,0.46
5,cluster7,d1_hematocrit_avg,0.0131
5,cluster7,d1_arterial_pco2_avg,0.0098
5,cluster7,d1_diasbp_diff,0.0092
5,cluster7,d1_resprate_diff,0.011
5,cluster7,solid_tumor_with_metastasis,0.0083
5,cluster8,d1_diasbp_avg,0.034
5,cluster8,d1_mbp_avg,0.0324
5,cluster8,d1_bilirubin_avg,0.0324
5,cluster8,d1_platelets_avg,0.0366
5,cluster8,d1_sodium_diff,0.033
5,cluster8,diabetes_mellitus,0.0325
5,cluster9,age,0.1442
5,cluster9,d1_inr_avg,0.1508
5,cluster10,d1_arterial_po2_avg,0.0438
5,cluster10,d1_spo2_diff,0.0408
5,cluster10,dx_sub,0.0403
5,cluster11,d1_albumin_diff,0.0038
5,cluster11,d1_bilirubin_diff,0.0045
5,cluster11,d1_bun_diff,0.0065
5,cluster11,d1_creatinine_diff,0.0053
5,cluster11,d1_glucose_diff,0.0059
5,cluster11,d1_hco3_diff,0.0041
5,cluster11,d1_hematocrit_diff,0.0072
5,cluster11,d1_inr_diff,0.0049
5,cluster11,d1_platelets_diff,0.0061
5,cluster11,d1_potassium_diff,0.0072
5,cluster11,d1_calcium_diff,0.0049
5,cluster11,d1_wbc_diff,0.0056
5,cluster12,d1_albumin_avg,0.0975
5,cluster12,dx_class,0.0974
5,cluster13,d1_pao2fio2ratio_avg,0.0527
5,cluster13,d1_heartrate_diff,0.0586
5,cluster13,d1_temp_diff,0.0594
5,cluster14,d1_bun_avg,0.2633
5,cluster15,d1_heartrate_avg,0.0881
5,cluster16,d1_temp_avg,0.0684
5,cluster16,d1_pao2fio2ratio_diff,0.0712
5,cluster17,d1_hemaglobin_diff,0.0026
5,cluster17,arf_apache,0.0004
5,cluster17,aids,0.0002
5,cluster17,cirrhosis,0.0007
5,cluster17,lymphoma,0
5,cluster18,d1_creatinine_avg,0.0229
5,cluster18,d1_sodium_avg,0.0244
5,cluster18,icu_admit_source,0.026
5,cluster19,group,0.1065
5,cluster20,d1_sysbp_diff,0.0307
5,cluster20,d1_arterial_pco2_diff,0.0301
5,cluster20,d1_arterial_po2_diff,0.0301
